회사ID,연매출액,년도,월,월별_연금보험료,월별_직원수
233757,41688077,2018,7,8912380,36
123464,1760695,2018,3,942380,5
342124,3221341,2018,7,781180,4
386420,4815584,2015,11,3795900,14
129243,9799736,2018,10,40724680,151
508810,239047,2018,3,528980,5
365169,3650711,2016,4,570320,3
189562,7119908,2016,1,1276900,6
133518,18642904,2018,10,16844840,75
190847,2367117,2015,12,2354660,8
36600,1321988,2018,2,1518840,9
65866,374795,2018,4,832500,5
295938,13589790,2016,12,13187980,66
311326,3578929,2016,2,1931260,8
101956,514658,2018,4,673200,3
230217,701825,2016,12,703800,4
182436,2289741,2016,4,2515200,9
193047,1169178,2018,5,1370940,6
366033,3724681,2015,12,472660,3
129310,43360251,2018,9,37862680,149
124181,2388433,2016,4,863000,5
94416,1223066,2018,3,666000,4
137755,13796240,2017,12,9385540,49
238034,2482716,2016,6,1852820,8
315511,1489328,2018,11,995120,6
226128,1198065,2016,4,405000,3
247515,2853675,2016,1,1041160,9
450042,1779271,2016,5,1197800,5
478831,2089202,2018,10,2457340,10
169493,11650125,2018,11,2858500,11
233078,9287278,2016,1,3626900,23
182239,2002104,2017,3,2079420,9
304228,10464554,2016,9,3092960,15
187137,1465767,2018,3,2258440,8
76026,88702,2018,8,846000,5
395238,3948832,2019,10,5308140,25
425073,5875169,2018,4,1338180,5
392674,18316228,2017,11,829340,3
150798,5248779,2017,6,2250120,13
316294,4756007,2016,4,1584900,7
247210,319636,2016,9,1272100,11
442467,17003119,2018,4,7862060,37
124581,391037,2016,9,765000,6
294790,96411248,2016,5,40334140,198
163684,10994138,2016,2,4003700,15
165739,3488836,2017,6,2551760,13
135071,7826081,2015,12,12178660,63
189631,2622352,2016,3,1202360,8
388181,70401,2016,4,1225980,4
268326,1493554,2018,11,1156280,7
263039,1420371,2016,3,1128660,6
178725,691399,2018,12,2235380,10
192812,10353415,2019,7,5480520,17
29091,2241114,2018,2,3200740,10
158642,7042322,2017,1,3149040,15
231080,152393780,2018,7,51609300,160
137166,27012831,2018,11,9456000,30
470702,11024188,2018,7,13102400,111
234912,40930112,2018,6,4651000,22
197966,3256937,2018,6,1388480,7
319414,6066236,2018,11,2914820,14
233340,4737472,2018,4,5991800,29
253684,1548583,2016,9,1618540,7
415920,558683,2016,2,732600,4
231576,44099806,2015,12,26365420,81
231080,132542490,2017,8,42458520,144
440094,43950506,2018,12,116537820,374
247750,1821771,2018,10,3622480,12
322239,2893714,2018,10,2419820,8
396881,1339857,2018,4,2688900,11
383174,2914060,2018,5,5634580,20
158695,10897985,2018,3,3796880,19
507625,5305328,2018,5,6051160,29
236448,10186718,2016,3,3138400,20
242698,3035858,2016,8,1992400,11
473265,2111857,2016,4,3998040,29
381643,9949712,2016,9,34649460,100
432911,17648147,2018,8,1759480,5
450983,1061385,2018,6,1132000,7
394038,2555798,2018,3,651320,3
150966,6413562,2018,2,2995420,22
314638,1631996,2016,2,2670360,11
420304,98205039,2018,10,51361020,127
209668,7145686,2018,8,1561140,5
211036,4926231,2018,5,1123720,5
440134,15254903,2017,12,48322340,166
125779,290409,2016,4,344700,3
335237,1179355,2016,6,879660,6
148368,17010895,2018,11,7112020,25
254865,150828,2016,4,864000,8
217412,951692,2018,6,522720,3
220782,863404,2018,6,267280,3
379016,865335,2018,3,460240,3
145900,4753036,2015,11,4153140,25
165530,3813006,2018,9,2969420,12
359671,1899724,2016,8,453400,3
470994,729553,2016,9,1530980,7
139359,50216484,2015,11,10547240,39
237640,1280591,2018,8,1258240,12
246381,2093023,2017,9,1804980,11
155953,19030592,2017,11,4973960,21
231383,67919140,2018,5,37070320,110
274003,310468,2018,10,1199420,7
234949,1736114,2018,5,5720860,26
329559,5167025,2016,4,2591360,9
348203,2537238,2018,1,1912220,6
169318,1217172,2018,2,1877260,10
87526,368677,2018,3,814480,4
451740,896211,2018,8,2014920,9
367989,4360916,2018,1,604600,3
387268,5532423,2017,8,1866660,8
233643,5973693,2018,3,4329840,29
224957,1077342,2018,4,652760,3
89734,927906,2018,4,513000,4
194646,1861710,2018,1,1552380,6
434443,466138,2016,7,1213280,5
219981,361769,2018,2,338940,3
142671,30871439,2016,4,5965060,30
343402,1397090,2015,12,525860,3
410875,831927,2016,4,1682960,9
207614,1820412,2016,12,2931200,9
308692,2330684,2018,6,3805300,16
430512,420099,2016,4,611440,5
134715,10582695,2017,5,13546240,54
259682,881588,2018,1,756520,7
238454,7102707,2016,12,2455360,19
273819,1224567,2016,9,639440,5
130322,201421946,2018,7,31335400,107
306502,27624479,2018,3,3331040,12
429752,4184259,2018,12,2024880,8
141220,53868485,2017,3,8413480,35
130647,32137447,2016,3,28097500,101
208631,358973,2015,12,1250720,5
207336,23791,2017,4,660500,4
152818,6499154,2016,1,6253260,22
232757,294131018,2018,2,7610780,40
302764,5710042,2015,12,4423020,22
169221,1555832,2016,9,1899300,7
196559,706272,2016,11,1280880,5
447366,5701872,2016,6,3691700,13
230175,3176070,2016,4,1439460,5
436536,1568680,2017,3,1282500,4
383847,2522644,2016,7,3313920,30
403657,39505283,2016,2,54940380,180
429762,925067,2016,10,1361360,9
479151,180421,2017,9,872240,7
169318,3410018,2016,7,1952120,10
143906,17808706,2018,2,8834060,32
147630,4464012,2016,10,7601540,23
221206,825636,2017,11,1148380,4
460930,852801,2018,6,660500,4
137601,6189041,2016,12,7717800,35
386947,6789193,2016,10,1363300,5
183773,3841599,2017,5,2209660,8
142318,4229327,2018,7,8752520,31
130084,55290944,2016,7,33417900,102
228990,1085666,2018,4,1807100,9
303586,2171642,2018,9,2405020,20
429710,3637399,2016,7,2600900,9
162804,4095838,2018,11,4019480,14
257336,670895,2016,8,360720,3
315359,46492878,2016,6,2296300,12
127060,287298836,2018,4,127501260,396
412167,711331,2016,8,1182120,8
130729,374082379,2017,2,21146600,67
440967,3939606,2016,4,5687460,56
415486,1194966,2018,8,1229200,5
135071,10154121,2018,4,5436840,24
201460,1284158,2016,2,1685680,6
486754,163050,2018,5,542880,3
296476,51272002,2018,4,17832820,62
405089,8580995,2016,11,7012800,44
231606,108050157,2016,3,22550480,81
450154,745345,2018,9,1374900,7
221435,4350416,2016,12,1166660,4
384922,2928680,2018,1,4268280,18
442187,5812460,2018,8,10005880,43
327692,377753,2018,10,1506120,7
280967,440704,2018,8,410400,3
424598,6473773,2018,9,972440,7
114619,4411074,2018,7,490120,3
259191,560683,2016,7,602420,5
178658,2833802,2016,4,1916340,10
325074,1642890,2018,3,2235200,9
469556,32091841,2016,12,103779340,749
187527,1705857,2017,3,2429320,8
245034,1711936,2016,7,1887820,9
344505,6482062,2016,5,1322000,5
322968,14598648,2017,5,2315300,8
395139,2380728,2016,8,3740900,43
302021,17404184,2018,1,4623560,25
222283,707776,2018,12,804320,4
255943,750110,2016,12,863060,8
135634,13168146,2015,11,10895560,44
314985,3709361,2016,6,2204180,10
385973,525376,2016,6,2793100,10
228393,1207088,2018,9,1751820,9
441397,4750019,2017,6,12482820,42
89734,927906,2018,1,378000,3
325410,4963878,2018,11,1906560,14
293483,56270,2018,5,135000,3
213057,761743,2016,3,458180,5
308198,3506741,2016,12,4249400,16
397324,690340,2016,4,1881000,10
262528,555781,2016,12,899360,3
406787,5385686,2016,8,6273280,27
