회사ID,연매출액,년도,월,월별_연금보험료,월별_직원수
지피클럽,22474017,2015,11,733104,8
지피클럽,22474017,2015,12,745068,7
지피클럽,48329929,2016,1,551118,7
지피클럽,48329929,2016,2,488133,7
지피클럽,48329929,2016,3,1073632,7
지피클럽,48329929,2016,4,775879,7
지피클럽,48329929,2016,5,1598643,10
지피클럽,48329929,2016,6,1564260,12
지피클럽,48329929,2016,7,1099280,12
지피클럽,48329929,2016,8,1001910,9
지피클럽,48329929,2016,9,1191533,10
지피클럽,48329929,2016,10,1213067,13
지피클럽,48329929,2016,11,1407932,13
지피클럽,48329929,2016,12,1304129,13
지피클럽,49755792,2017,1,1304129,13
지피클럽,49755792,2017,2,1280187,14
지피클럽,49755792,2017,3,1118545,13
지피클럽,49755792,2017,4,963904,11
지피클럽,49755792,2017,5,1613146,12
지피클럽,49755792,2017,6,1223359,12
지피클럽,49755792,2017,7,1282880,12
지피클럽,49755792,2017,8,1282880,12
지피클럽,49755792,2017,9,1188351,12
지피클럽,49755792,2017,10,1220169,12
지피클럽,49755792,2017,11,1523847,12
지피클럽,49755792,2017,12,1401359,12
지피클럽,513728710,2018,1,1401359,12
지피클럽,513728710,2018,2,1401359,12
지피클럽,513728710,2018,3,1786749,14
지피클럽,513728710,2018,4,3349614,20
지피클럽,513728710,2018,5,2577629,23
지피클럽,513728710,2018,6,3621204,34
지피클럽,513728710,2018,7,4070355,36
지피클럽,513728710,2018,8,4984879,39
지피클럽,513728710,2018,9,4687549,40
지피클럽,513728710,2018,10,5737523,44
지피클럽,513728710,2018,11,6039350,47
지피클럽,513728710,2018,12,5902835,48
지피클럽,448642100,2019,1,7872901,69
지피클럽,448642100,2019,2,8848225,82
지피클럽,448642100,2019,3,9213886,89
지피클럽,448642100,2019,4,10857977,90
지피클럽,448642100,2019,5,9974678,99
지피클럽,448642100,2019,6,10658839,100
지피클럽,448642100,2019,7,12347012,98
지피클럽,448642100,2019,8,12942268,103
지피클럽,448642100,2019,9,13683265,110
지피클럽,448642100,2019,10,13548648,112
지피클럽,448642100,2019,11,14867273,113
지피클럽,448642100,2019,12,16026448,121
무신사,32930316,2015,11,5828500,61
무신사,32930316,2015,12,6015221,66
무신사,47231240,2016,1,6724457,68
무신사,47231240,2016,2,6259349,68
무신사,47231240,2016,3,6272291,67
무신사,47231240,2016,4,6272291,67
무신사,47231240,2016,5,7402734,73
무신사,47231240,2016,6,7014119,76
무신사,47231240,2016,7,7320893,76
무신사,47231240,2016,8,7403658,71
무신사,47231240,2016,9,7725366,80
무신사,47231240,2016,10,8518622,79
무신사,47231240,2016,11,8323900,84
무신사,47231240,2016,12,8158804,82
무신사,67721259,2017,1,8078666,80
무신사,67721259,2017,2,8705149,88
무신사,67721259,2017,3,8425561,87
무신사,67721259,2017,4,8083624,84
무신사,67721259,2017,5,8799604,87
무신사,67721259,2017,6,9060751,89
무신사,67721259,2017,7,9775592,88
무신사,67721259,2017,8,10799702,93
무신사,67721259,2017,9,11531187,100
무신사,67721259,2017,10,11371344,102
무신사,67721259,2017,11,11707083,100
무신사,67721259,2017,12,13118713,114
무신사,105012384,2018,1,13290456,119
무신사,105012384,2018,2,13225553,117
무신사,105012384,2018,3,14145995,128
무신사,105012384,2018,4,14850067,127
무신사,105012384,2018,5,14942261,134
무신사,105012384,2018,6,15956411,142
무신사,105012384,2018,7,17494492,147
무신사,105012384,2018,8,17694932,145
무신사,105012384,2018,9,20329494,154
무신사,105012384,2018,10,19869246,163
무신사,105012384,2018,11,20941115,174
무신사,105012384,2018,12,20896395,173
무신사,210312756,2019,1,22042408,180
무신사,210312756,2019,2,23792280,195
무신사,210312756,2019,3,23931297,199
무신사,210312756,2019,4,26596942,214
무신사,210312756,2019,5,29535854,222
무신사,210312756,2019,6,41194452,269
무신사,210312756,2019,7,39993786,290
무신사,210312756,2019,8,41558251,300
무신사,210312756,2019,9,41479557,305
무신사,210312756,2019,10,44843188,322
무신사,210312756,2019,11,46170576,332
무신사,210312756,2019,12,52130167,370
토스,99100,2015,11,29943650.7,27
토스,99100,2015,12,38069917.2,28
토스,3439965,2016,1,35424675,30
토스,3439965,2016,2,37119528,32
토스,3439965,2016,3,35680513.5,30
토스,3439965,2016,4,42013228.95,31
토스,3439965,2016,5,41824728,32
토스,3439965,2016,6,45647906.4,36
토스,3439965,2016,7,59209850.7,41
토스,3439965,2016,8,64972145.25,45
토스,3439965,2016,9,79675041.6,56
토스,3439965,2016,10,80919996.3,58
토스,3439965,2016,11,83819718,60
토스,3439965,2016,12,94809147.3,67
토스,20591083,2017,1,93717874.8,66
토스,20591083,2017,2,102583362.6,69
토스,20591083,2017,3,110524498.2,74
토스,20591083,2017,4,116497512,76
토스,20591083,2017,5,129981366.9,77
토스,20591083,2017,6,130130133.8,85
토스,20591083,2017,7,144524957.9,91
토스,20591083,2017,8,151093273.1,93
토스,20591083,2017,9,155788677,90
토스,20591083,2017,10,166608064.8,101
토스,20591083,2017,11,171740237.9,103
