회사ID,15_매출액,16_매출액,17_매출액,18_매출액,19_매출액,15_총급여,16_총급여,17_총급여,18_총급여,19_총급여,최대_직원수
63,,,,11328779396.0,,,,,109367527555.55556,,1018
95,,,,656947437.0,,,,,57290091555.55557,,562
102,,,,742658938.0,,,,,30892359555.555557,,785
295,,,,83776697.0,,,,,13744361777.777779,,315
414,,,,19732769.0,,,,,20690718222.222218,,251
597,,,,208141595.0,,,,,14612733777.777779,,194
786,,,,65514573.0,,,,,12281024888.88889,,193
917,,,,42843708.0,,,,,12829834222.222221,,155
1052,,,,1215784.0,,,,,806734666.6666667,,19
1125,,,,53713870.0,,,,,7573190666.666667,,137
1715,,,,7844389.0,,,,,2437693777.777778,,40
1807,,,,5631138.0,,,,,3998504444.4444447,,95
2031,,,,34604403.0,,,,,4558221777.777779,,83
2037,,,,,16308882.0,,,,,7227656444.444446,92
2360,,,,7510794.0,,,,,5091960444.444445,,75
2483,,,,8178269.0,,,,,3662398666.666667,,77
2745,,,,7145408.0,,,,,5699746222.222222,,65
2807,,,,25460901.0,,,,,5468962222.222222,,60
2842,,,,113877008.0,,,,,6339707111.111112,,67
2993,,,,20094491.0,,,,,3561995555.5555563,,63
3611,,,,3955788.0,,,,,1726611555.5555553,,55
3828,,,,60584448.0,,,,,4087136888.888889,,62
4234,,,,7486204.0,,,,,2448412000.0,,48
4534,,,,940716.0,,,,,538660000.0,,16
4926,,,,3362920.0,,,,,2909200888.888889,,43
5202,,,,90027705.0,,,,,3572723111.1111107,,46
5452,,,,252376511.0,,,,,3410203111.111111,,41
5711,,,,6218534.0,,,,,1950260444.4444444,,35
6184,,,,2066009.0,,,,,1338094666.6666667,,29
6438,,,,3770065.0,,,,,1154854666.6666667,,36
7046,,,,3505559.0,,,,,530957777.7777779,,11
7153,,,,4773476.0,,,,,1983798666.6666667,,33
8208,,,,,4151961.0,,,,,4500435555.555556,56
8268,,,,5285115.0,,,,,2729378222.2222223,,30
8496,,,,863717.0,,,,,1744438222.2222226,,32
8835,,,,171280543.0,,,,,1471928444.4444444,,28
9061,,,,2710359.0,,,,,1431365777.777778,,26
9613,,,,1909461.0,,,,,2316442666.666667,,37
9734,,,,5724742.0,,,,,1226282666.6666665,,28
9862,,,,10294662.0,,,,,1252972888.888889,,34
10348,,,,1586381.0,,,,,819370666.6666667,,25
10564,,,,17025407.0,,,,,1429785333.3333333,,25
10881,,,,16766074.0,,,,,1202024000.0,,25
10929,,,,3223895.0,,,,,1055319555.5555559,,25
11393,,,,6231103.0,,,,,616842666.6666666,,12
12022,,,,7423315.0,,,,,901764444.4444445,,23
12272,,,,3411923.0,,,,,980789333.3333334,,23
12767,4508357.0,,,,,145981333.33333334,,,,,17
13481,,,,44335910.0,,,,,1013060888.888889,,37
13827,,,,7789727.0,,,,,1028220888.8888888,,18
13948,,,,25421792.0,,,,,1297602222.2222223,,15
14181,,,,6534585.0,,,,,1339559111.1111112,,20
14271,1199495.0,4257715.0,5005248.0,8388401.0,9039340.0,136236000.0,982333777.7777778,974126222.2222224,1128479111.1111112,1279168000.0000002,24
14422,,,,1698580.0,,,,,794820444.4444444,,20
14462,,,,1456888.0,,,,,975320888.8888891,,24
14667,,,,1559084.0,,,,,713429777.7777778,,20
15027,,,,6895945.0,,,,,956457777.7777777,,22
15036,,,,7880082.0,,,,,1123118666.6666667,,18
15077,,,,7528578.0,,,,,1060536888.8888891,,16
15167,,,,6939540.0,,,,,1218797333.333333,,21
15224,,,,5232547.0,,,,,1078306666.666667,,18
15240,,,,963645.0,,,,,670278222.2222223,,17
15283,,,,1447478.0,,,,,1072313777.7777777,,19
15500,,,,2606511.0,,,,,1081955999.9999998,,18
15949,,,,1034295.0,,,,,559145333.3333335,,9
16298,,,,1529827.0,,,,,1021827111.1111114,,21
16877,,,,3881767.0,,,,,623983111.1111113,,17
17700,,,,1476556.0,,,,,516583555.5555555,,17
18961,,,,1409760.0,,,,,1219830666.6666667,,16
19021,,,,7252398.0,,,,,524242666.6666667,,16
19044,,,,7402046.0,,,,,716860444.4444445,,14
19052,,,,1391240.0,,,,,984121333.3333336,,16
19291,,,,7675592.0,,,,,701312000.0000001,,20
20139,,,,1012564.0,,,,,726564000.0,,13
20857,,,,2072083.0,,,,,739154666.6666667,,14
20982,,,,3117622.0,,,,,993442666.6666667,,15
21546,,,,1451645.0,,,,,225606222.22222218,,8
21851,,,,2015355.0,,,,,833676000.0,,21
21877,,,,1098351.0,,,,,627240000.0,,14
23138,,,,6323390.0,,,,,827446222.2222222,,14
23221,,,,1916391.0,,,,,867732888.8888888,,14
23345,,,,1451779.0,,,,,727263111.1111113,,13
23435,,,,3344878.0,,,,,1113298666.6666667,,13
23560,,,,2949502.0,,,,,454388888.88888896,,7
24561,,,,885731.0,,,,,607862222.2222223,,12
25202,,,,4997811.0,,,,,287650666.6666667,,8
25285,,,,1539260.0,,,,,816122222.2222224,,13
25300,,,,232610.0,,,,,204852444.44444448,,13
25375,,,,3194093.0,,,,,491571999.99999994,,13
25499,,,,1232704.0,,,,,647049333.3333334,,13
25687,,,,1606824.0,,,,,554752888.8888888,,12
26080,,,,7693913.0,,,,,733350666.6666665,,12
26145,,,,1706071.0,,,,,442014222.22222215,,8
26185,,,,1096305.0,,,,,358920000.0,,12
26778,,,,915418.0,,,,,414332000.0,,12
27101,,,,1163673.0,,,,,575934666.6666667,,16
27500,,,,3558079.0,,,,,736940444.4444447,,13
27644,,,,990880.0,,,,,455847999.99999994,,12
27711,,,,2467173.0,,,,,519231111.11111116,,16
27801,,,,3949225.0,,,,,642186666.6666666,,10
28898,,,,29948233.0,,,,,854129777.777778,,11
29091,,,,2241114.0,,,,,559116444.4444445,,10
29171,,,,409000.0,,,,,1106408000.0,,16
29781,,,,4336333.0,,,,,739470222.2222224,,11
30325,,,,1101521.0,,,,,471555111.11111116,,11
30460,,,,461986.0,,,,,189168444.44444448,,6
30694,,,,1800598.0,,,,,613600444.4444445,,14
30714,,,,1365953.0,,,,,509094222.2222222,,11
31073,,,,2826320.0,,,,,679204444.4444444,,14
31100,,,,1286061.0,,,,,413009777.77777785,,11
31379,,,,19509526.0,,,,,649155555.5555556,,16
31408,,,,7519279.0,,,,,544800000.0,,11
31434,,,,1274403.0,,,,,517907555.5555556,,11
32251,,,,2994270.0,,,,,447755111.1111111,,13
32507,,,,6715903.0,,,,,775604000.0000001,,13
32970,,,,1730962.0,,,,,552174666.6666666,,12
32989,,,,646895.0,,,,,576374666.6666667,,12
33976,,,,12262628.0,,,,,820506666.6666669,,12
34029,,,,1715957.0,,,,,892104444.4444445,,10
34043,,,,1057194.0,,,,,463068888.88888884,,12
34070,,,,7155374.0,,,,,318361777.7777778,,10
34254,,,,3189623.0,,,,,331334666.6666667,,10
34488,,,,666773.0,,,,,558183111.111111,,9
35047,,,,2105026.0,,,,,442126222.2222223,,11
35129,,,,3246534.0,,,,,549023111.1111112,,13
35144,,,,906628.0,,,,,383549777.77777773,,10
35270,,,,661000.0,,,,,492226666.6666667,,7
35566,,,,5485787.0,,,,,548652444.4444444,,10
36098,,,,358235.0,,,,,312027111.1111111,,9
36181,,,,1667385.0,,,,,381401333.3333333,,9
36480,,,,1513954.0,,,,,580611111.1111112,,13
36600,,,,1321988.0,,,,,401882666.6666666,,9
36645,,,,3030719.0,,,,,644840000.0,,10
36760,,,,1018455.0,,,,,239742222.22222227,,9
36940,,,,4191732.0,,,,,291097777.7777778,,10
37287,,,,2553686.0,,,,,542892444.4444444,,9
37740,,,,820243.0,,,,,528108000.0,,10
37742,,,,48910351.0,,,,,369227555.55555564,,9
37752,,,,788185.0,,,,,393976000.0000001,,10
38215,,,,2348595.0,,,,,381824000.0,,9
38219,,,,207300.0,,,,,234636000.0,,9
38390,,,,2305636.0,,,,,542210222.2222222,,11
38993,,,,460492.0,,,,,434433777.7777778,,11
39657,,,,266220.0,,,,,860154666.6666669,,13
40164,,,,1402615.0,,,,,589486222.2222223,,8
40523,,,,203114.0,,,,,303200000.0,,8
40857,,,,25669313.0,,,,,368640000.0,,12
40860,,,,170914439.0,,,,,685392000.0,,7
41161,,,,1718593.0,,,,,410680444.4444445,,7
41385,,,,2823410.0,,,,,603488000.0000001,,7
41429,,2422101.0,,,,,287672000.00000006,,,,8
42188,,,,123495.0,,,,,53408000.0,,7
42550,,,,266360.0,,,,,425515555.5555556,,11
42685,,,,1226274.0,,,,,375512000.00000006,,6
43780,,,,809714.0,,,,,505008888.888889,,9
43898,,,,2535548.0,,,,,422148000.0,,8
43953,,,,1505609.0,,,,,359417333.3333334,,7
44405,,,,5306120.0,,,,,549677333.3333334,,7
